ciselnik,ciselnik_kod,ciselnik_nazev,vek_IRI,vek_kod,vek_nazev,vek_od_vcetne,vek_do_vcetne
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66045064,66045064,45–64 let,45.0,64.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66046046,66046046,46 let,46.0,46.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66046050,66046050,46–50 let,46.0,50.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66046999,66046999,46 let a více,46.0,999.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66047047,66047047,47 let,47.0,47.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66048048,66048048,48 let,48.0,48.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66049049,66049049,49 let,49.0,49.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66050050,66050050,50 let,50.0,50.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66050054,66050054,50–54 let,50.0,54.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66050059,66050059,50–59 let,50.0,59.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66051051,66051051,51 let,51.0,51.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66051055,66051055,51–55 let,51.0,55.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66052052,66052052,52 let,52.0,52.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66053053,66053053,53 let,53.0,53.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66054054,66054054,54 let,54.0,54.0
